Date,ITSA4 
6/22/15,5.233504
6/23/15,5.233504
6/24/15,5.221835
6/25/15,5.13432
6/26/15,5.245173
6/29/15,5.180994
6/30/15,5.198499
7/1/15,5.186829
7/2/15,5.274344
7/3/15,5.186829
7/6/15,5.140155
7/7/15,5.110983
7/8/15,5.110983
7/10/15,5.239339
7/13/15,5.245173
7/14/15,5.245173
7/15/15,5.210167
7/16/15,5.210167
7/17/15,5.13432
7/20/15,5.145989
7/21/15,5.140155
7/22/15,5.064308
7/23/15,4.801756
7/24/15,4.667565
7/27/15,4.667565
7/28/15,4.714241
7/29/15,4.813423
7/30/15,4.749245
7/31/15,4.900939
8/3/15,4.918441
8/4/15,4.784252
8/5/15,4.766749
8/6/15,4.667565
8/7/15,4.521699
8/10/15,4.580048
8/11/15,4.521699
8/12/15,4.504197
8/13/15,4.483705
8/14/15,4.471875
8/17/15,4.442301
8/18/15,4.406808
8/19/15,4.341744
8/20/15,4.329914
8/21/15,4.294422
8/24/15,4.205696
8/25/15,4.211611
8/26/15,4.460045
8/27/15,4.596092
8/28/15,4.448215
8/31/15,4.306252
9/1/15,4.275576
9/2/15,4.305228
9/3/15,4.435687
9/4/15,4.328947
9/8/15,4.352665
9/9/15,4.400108
9/10/15,4.269648
9/11/15,4.388247
9/14/15,4.601733
9/15/15,4.572083
9/16/15,4.666964
9/17/15,4.678822
9/18/15,4.477196
9/21/15,4.364528
9/22/15,4.417897
9/23/15,4.269648
9/24/15,4.239998
9/25/15,4.151049
9/28/15,4.162901
9/29/15,4.162901
9/30/15,4.234068
10/1/15,4.281506
10/2/15,4.400108
10/5/15,4.500918
10/6/15,4.566147
10/7/15,4.708473
10/8/15,4.726261
10/9/15,4.761841
10/13/15,4.578006
10/14/15,4.471266
10/15/15,4.453477
10/16/15,4.376388
10/19/15,4.459405
10/20/15,4.400108
10/21/15,4.394176
10/22/15,4.459405
10/23/15,4.429757
10/26/15,4.364528
10/27/15,4.328947
10/28/15,4.299297
10/29/15,4.234068
10/30/15,4.269648
11/3/15,4.453477
11/4/15,4.483127
11/5/15,4.554285
11/6/15,4.447546
11/9/15,4.358597
11/10/15,4.358597
11/11/15,4.453477
11/12/15,4.477196
11/13/15,4.388247
11/16/15,4.417897
11/17/15,4.483127
11/18/15,4.524635
11/19/15,4.595796
11/23/15,4.583943
11/24/15,4.601733
11/25/15,4.382316
11/26/15,4.465336
11/27/15,4.358597
11/30/15,4.299297
12/1/15,4.417168
12/2/15,4.339885
12/3/15,4.518232
12/4/15,4.470671
12/7/15,4.423113
12/8/15,4.393387
12/9/15,4.613358
12/10/15,4.61775
12/11/15,4.58745
12/14/15,4.448071
12/15/15,4.472312
12/16/15,4.442012
12/17/15,4.551092
12/18/15,4.332933
12/21/15,4.254147
12/22/15,4.272335
12/23/15,4.242033
12/28/15,4.229914
12/29/15,4.229914
12/30/15,4.169306
1/4/16,3.999628
1/5/16,4.066288
1/6/16,4.102647
1/7/16,4.042049
1/8/16,4.042049
1/11/16,3.993568
1/12/16,3.94509
1/13/16,3.957209
1/14/16,3.975388
1/15/16,3.908729
1/18/16,3.89055
1/19/16,3.848129
1/20/16,3.805703
1/21/16,3.817831
1/22/16,3.87843
1/26/16,3.93903
1/27/16,3.94509
1/28/16,4.029928
1/29/16,4.169306
2/1/16,4.193545
2/2/16,3.848129
2/3/16,4.048109
2/4/16,4.114767
2/5/16,4.108707
2/10/16,4.114767
2/11/16,4.023869
2/12/16,4.029928
2/15/16,4.035988
2/16/16,4.096589
2/17/16,4.114767
2/18/16,4.042049
2/19/16,4.074289
2/22/16,4.212185
2/23/16,4.205917
2/24/16,4.174578
2/25/16,4.205917
2/26/16,4.16831
2/29/16,4.274868
3/1/16,4.462332
3/2/16,4.531466
3/3/16,4.902282
3/4/16,5.097112
3/7/16,5.034262
3/8/16,5.210239
3/9/16,5.084542
3/10/16,5.273089
3/11/16,5.367369
3/14/16,5.329651
3/15/16,5.021695
3/16/16,4.895997
3/17/16,5.398794
3/18/16,5.392509
3/21/16,5.461642
3/22/16,5.266804
3/23/16,5.109682
3/24/16,5.109682
3/28/16,5.310797
3/29/16,5.367369
3/30/16,5.323375
3/31/16,5.13482
4/1/16,5.13482
4/4/16,4.96513
4/5/16,4.939991
4/6/16,4.808001
4/7/16,4.877142
4/8/16,5.166246
4/11/16,5.178816
4/12/16,5.417649
4/13/16,5.442789
4/14/16,5.329651
4/15/16,5.417649
4/18/16,5.373654
4/19/16,5.367369
4/20/16,5.260519
4/22/16,5.210239
4/25/16,5.153676
4/26/16,5.342223
4/27/16,5.474214
4/28/16,5.461642
4/29/16,5.442789
5/2/16,5.323375
5/3/16,5.033008
5/4/16,5.115967
5/5/16,5.060659
5/6/16,5.081403
5/9/16,5.150537
5/10/16,5.392509
5/11/16,5.357939
5/12/16,5.42016
5/13/16,5.295717
5/16/16,5.268067
5/17/16,5.102142
5/18/16,5.102142
5/19/16,5.129792
5/20/16,5.067571
5/23/16,5.081403
5/24/16,5.033008
5/25/16,5.026096
5/27/16,5.026096
5/30/16,5.019175
5/31/16,4.936217
6/1/16,5.044743
6/2/16,5.058601
6/3/16,5.093252
6/6/16,5.02395
6/7/16,5.114038
6/8/16,5.204118
6/9/16,5.23877
6/10/16,4.961583
6/13/16,5.010092
6/14/16,4.913083
6/15/16,4.906147
6/16/16,5.01702
6/17/16,4.947726
6/20/16,5.030878
6/21/16,4.982377
6/22/16,4.940798
6/23/16,5.120966
6/24/16,4.996235
6/27/16,4.84378
6/28/16,4.982377
6/29/16,5.100181
6/30/16,5.259556
7/1/16,5.308065
7/4/16,5.301136
7/5/16,5.23877
7/6/16,5.211047
7/7/16,5.252627
7/8/16,5.405081
7/11/16,5.412011
7/12/16,5.328851
7/13/16,5.453583
7/14/16,5.696118
7/15/16,5.668403
7/18/16,5.793137
7/19/16,5.827786
7/20/16,5.806993
7/21/16,5.751556
7/22/16,5.76542
7/25/16,5.737699
7/26/16,5.68226
7/27/16,5.772351
7/28/16,5.703055
7/29/16,5.793137
8/1/16,5.723843
8/2/16,5.758494
8/3/16,5.987162
8/4/16,6.00102
8/5/16,5.980234
8/8/16,5.938662
8/9/16,5.931726
8/10/16,5.855501
8/11/16,6.021813
8/12/16,6.028742
8/15/16,6.138977
8/16/16,6.075977
8/17/16,6.173972
8/18/16,6.201975
8/19/16,6.145975
8/22/16,5.977976
8/23/16,5.984973
8/24/16,5.963975
8/25/16,5.949977
8/26/16,6.005978
8/29/16,6.096974
8/30/16,6.110972
8/31/16,6.019976
9/1/16,6.0737
9/2/16,6.157867
9/5/16,6.13683
9/6/16,6.185918
9/8/16,6.101758
9/9/16,5.821217
9/12/16,5.870311
9/13/16,5.842261
9/14/16,5.77914
9/15/16,5.912395
9/16/16,5.842261
9/19/16,5.856287
9/20/16,5.891349
9/21/16,5.926421
9/22/16,6.0176
9/23/16,5.968503
9/26/16,5.89837
9/27/16,5.982529
9/28/16,6.04565
9/29/16,5.870311
9/30/16,5.849273
10/3/16,5.954479
10/4/16,5.870311
10/5/16,5.947458
10/6/16,6.04565
10/7/16,6.115784
10/10/16,6.206964
10/11/16,6.143842
10/13/16,6.143842
10/14/16,6.242027
10/17/16,6.298136
10/18/16,6.382304
10/19/16,6.34022
10/20/16,6.368269
10/21/16,6.319182
10/24/16,6.284111
10/25/16,6.199952
10/26/16,6.213977
10/27/16,6.347233
10/28/16,6.361258
10/31/16,6.620756
11/1/16,6.473474
11/3/16,6.347233
11/4/16,6.473474
11/7/16,6.627775
11/8/16,6.662838
11/9/16,6.522571
11/10/16,6.185918
11/11/16,6.0176
11/14/16,6.010588
11/16/16,6.206964
11/17/16,6.059676
11/18/16,6.157867
11/21/16,6.220989
11/22/16,6.220989
11/23/16,6.108773
11/24/16,6.059676
11/25/16,6.031625
11/28/16,6.087734
11/29/16,5.968503
11/30/16,6.038638
12/1/16,5.741117
12/2/16,5.762196
12/5/16,5.734093
12/6/16,5.860579
12/7/16,5.874632
12/8/16,5.867603
12/9/16,5.902736
12/12/16,5.670848
12/13/16,5.698954
12/14/16,5.663823
12/15/16,5.663823
12/16/16,5.635711
12/19/16,5.537337
12/20/16,5.593553
12/21/16,5.593553
12/22/16,5.635711
12/23/16,5.771307
12/26/16,5.844362
12/27/16,5.822449
12/28/16,5.902806
12/29/16,6.048913
1/2/17,5.997773
1/3/17,6.260777
1/4/17,6.2973
1/5/17,6.355743
1/6/17,6.33383
1/9/17,6.399579
1/10/17,6.355743
1/11/17,6.399579
1/12/17,6.574903
1/13/17,6.509155
1/16/17,6.509155
1/17/17,6.64066
1/18/17,6.60413
1/19/17,6.596826
1/20/17,6.669878
1/23/17,6.837906
1/24/17,6.757542
1/26/17,6.786767
1/27/17,6.779463
1/30/17,6.699097
1/31/17,6.779463
2/1/17,6.808681
2/2/17,6.801377
2/3/17,6.932873
2/6/17,6.830601
2/7/17,6.92557
2/8/17,6.984013
2/9/17,7.035152
2/10/17,7.100902
2/13/17,7.086285
2/14/17,7.057065
2/15/17,7.327367
2/16/17,7.305453
2/17/17,7.422341
2/20/17,7.524613
2/21/17,7.712621
2/22/17,7.750061
2/23/17,7.652715
2/24/17,7.51793
3/1/17,7.492808
3/2/17,7.402804
3/3/17,7.492808
3/6/17,7.552804
3/7/17,7.440303
3/8/17,7.297795
3/9/17,7.230299
3/10/17,7.260295
3/13/17,7.365299
3/14/17,7.282794
3/15/17,7.470309
3/16/17,7.470309
3/17/17,7.3278
3/20/17,7.312803
3/21/17,7.057791
3/22/17,7.237798
3/23/17,7.177793
3/24/17,7.245298
3/27/17,7.312803
3/28/17,7.260295
3/29/17,7.3278
3/30/17,7.237798
3/31/17,7.125287
4/3/17,7.185293
4/4/17,7.282794
4/5/17,7.200294
4/6/17,7.10279
4/7/17,7.140287
4/10/17,7.170294
4/11/17,7.200294
4/12/17,7.162794
4/13/17,6.982789
4/17/17,7.170294
4/18/17,7.230299
4/19/17,7.11029
4/20/17,7.050284
4/24/17,7.222799
4/25/17,7.237798
4/26/17,7.215291
4/27/17,7.305293
4/28/17,7.417804
5/2/17,7.560312
5/3/17,7.485307
5/4/17,7.312803
5/5/17,7.515308
5/8/17,7.500309
5/9/17,7.522806
5/10/17,7.57531
5/11/17,7.702812
5/12/17,7.725317
5/15/17,7.725317
5/16/17,7.702812
5/17/17,7.552804
5/18/17,6.825281
5/19/17,6.870277
5/22/17,6.675273
5/23/17,6.757778
5/24/17,6.757778
5/25/17,6.600269
5/26/17,6.727769
5/29/17,6.727769
5/30/17,6.772776
5/31/17,6.71277
6/1/17,6.574893
6/2/17,6.612459
6/5/17,6.582407
6/6/17,6.672577
6/7/17,6.785285
6/8/17,6.732683
6/9/17,6.619974
6/12/17,6.619974
6/13/17,6.665063
6/14/17,6.732683
6/15/17,6.732683
6/16/17,6.770258
6/19/17,6.777771
6/20/17,6.604947
6/21/17,6.567371
6/22/17,6.582407
6/23/17,6.514779
6/26/17,6.687602
6/27/17,6.559858
6/28/17,6.619974
6/29/17,6.710145
6/30/17,6.777771
7/3/17,6.777771
7/4/17,6.770258
7/5/17,6.837887
7/6/17,6.747718
7/7/17,6.740196
7/10/17,6.800313
7/11/17,6.897996
7/12/17,6.913031
7/13/17,6.93557
7/14/17,6.920543
7/17/17,6.897996
7/18/17,6.958111
7/19/17,6.897996
7/20/17,6.928055
7/21/17,6.913031
7/24/17,6.913031
7/25/17,6.973135
7/26/17,6.890481
7/27/17,6.943084
7/28/17,6.943084
7/31/17,6.950597
8/1/17,7.176023
8/2/17,7.25868
8/3/17,7.243653
8/4/17,7.221103
8/7/17,7.378903
8/8/17,7.386415
8/9/17,7.356362
8/10/17,7.303761
8/11/17,7.341334
8/14/17,7.446533
8/15/17,7.483649
8/16/17,7.491222
8/17/17,7.430623
8/18/17,7.529089
8/21/17,7.521518
8/22/17,7.597264
8/23/17,7.756328
8/24/17,7.816928
8/25/17,7.80178
8/28/17,7.786627
8/29/17,7.847222
8/30/17,7.854796
8/31/17,7.726033
9/1/17,7.87395
9/4/17,7.843611
9/5/17,7.889129
9/6/17,8.109108
9/7/17,8.109108
9/8/17,8.131862
9/11/17,8.23807
9/12/17,8.275994
9/13/17,8.298748
9/14/17,8.329097
9/15/17,8.511153
9/18/17,8.564221
9/19/17,8.533933
9/20/17,8.45049
9/21/17,8.458081
9/22/17,8.442895
9/25/17,8.351858
9/26/17,8.344264
9/27/17,8.222891
9/28/17,8.207722
9/29/17,8.367045
10/2/17,8.313928
10/3/17,8.640069
10/4/17,8.579408
10/5/17,8.632559
10/6/17,8.594594
10/9/17,8.465676
10/10/17,8.640069
10/11/17,8.617374
10/12/17,8.617374
10/13/17,8.60978
10/16/17,8.571814
10/17/17,8.473186
10/18/17,8.511153
10/19/17,8.458081
10/20/17,8.458081
10/23/17,8.260823
10/24/17,8.442895
10/25/17,8.571814
10/26/17,8.480778
10/27/17,8.458081
10/30/17,8.222891
10/31/17,7.949808
11/1/17,7.889129
11/2/17,7.889129
11/3/17,7.964978
11/6/17,7.987742
11/7/17,7.81327
11/8/17,8.071183
11/9/17,7.942223
11/10/17,7.942223
11/13/17,7.942223
11/14/17,7.828441
11/15/17,7.828441
11/16/17,7.949808
11/17/17,8.040836
11/20/17,8.040836
11/21/17,8.162211
11/22/17,8.139456
11/23/17,8.131862
11/24/17,8.056005
11/27/17,8.184966
11/28/17,8.154628
11/29/17,7.957393
11/30/17,7.87395
12/1/17,7.94612
12/4/17,7.976502
12/5/17,7.938524
12/6/17,8.052473
12/7/17,7.961313
12/8/17,7.991705
12/11/17,8.029683
12/12/17,8.113248
12/13/17,7.999302
12/14/17,7.976502
12/15/17,8.014492
12/18/17,7.976502
12/19/17,7.900544
12/20/17,8.022087
12/21/17,8.318359
12/22/17,8.325957
12/25/17,8.325957
12/26/17,8.363029
12/27/17,8.339887
12/28/17,8.347599
12/29/17,8.347599
1/2/18,8.50964
1/3/18,8.609951
1/4/18,8.771956
1/5/18,8.78732
1/8/18,8.779679
1/9/18,8.640758
1/10/18,8.640758
1/11/18,8.779679
1/12/18,8.802765
1/15/18,8.910796
1/16/18,9.026552
1/17/18,9.16539
1/18/18,9.21164
1/19/18,9.242533
1/22/18,9.473959
1/23/18,9.350565
1/24/18,9.960064
1/25/18,9.960064
1/26/18,10.376665
1/29/18,10.106624
1/30/18,10.168324
1/31/18,10.222381
2/1/18,10.19149
2/2/18,10.029484
2/5/18,9.720831
2/6/18,10.098902
2/7/18,9.890559
2/8/18,9.798056
2/9/18,9.782611
2/14/18,null
2/15/18,10.098902
2/16/18,10.338051
2/19/18,10.314884
2/20/18,10.731569
2/21/18,10.916659
2/22/18,11.094112
2/23/18,11.02879
2/26/18,11.044986
2/27/18,10.899372
2/28/18,10.61615
3/1/18,10.798413
3/2/18,10.887521
3/5/18,11.179173
3/6/18,11.130521
3/7/18,11.098085
3/8/18,11.025192
3/9/18,11.122411
3/12/18,11.227741
3/13/18,11.154846
3/14/18,11.041412
3/15/18,10.992846
3/16/18,10.887521
3/19/18,10.774084
3/20/18,10.774084
3/21/18,10.790302
3/22/18,10.749756
3/23/18,10.782194
3/26/18,10.96041
3/27/18,10.846977
3/28/18,10.976631
3/29/18,11.171064
4/2/18,11.106194
4/3/18,11.04952
4/4/18,11.057628
4/5/18,11.025192
4/6/18,10.936085
4/9/18,10.71741
4/10/18,10.765976
4/11/18,10.757865
4/12/18,10.927975
4/13/18,10.693085
4/16/18,10.498649
4/17/18,10.693085
4/18/18,10.903738
4/19/18,10.733628
4/20/18,10.644521
4/23/18,10.684975
4/24/18,10.660647
4/25/18,10.725519
4/26/18,11.073849
4/27/18,11.090065
4/30/18,11.025192
5/2/18,10.369083
5/3/18,10.085539
5/4/18,9.923537
5/7/18,9.939669
5/8/18,9.963993
5/9/18,9.98832
5/10/18,10.320431
5/11/18,10.158429
5/14/18,10.012648
5/15/18,9.874886
5/16/18,9.972102
5/17/18,9.534667
5/18/18,9.396993
5/21/18,9.340231
5/22/18,9.745321
5/23/18,9.51845
5/24/18,9.672338
5/25/18,9.534667
5/28/18,9.137686
5/29/18,9.072903
5/30/18,9.097231
6/1/18,9.235122
6/4/18,9.529574
6/5/18,9.056664
6/6/18,8.931745
6/7/18,8.387453
6/8/18,8.405298
6/11/18,8.208995
6/12/18,8.200073
6/13/18,8.137612
6/14/18,7.869929
6/15/18,7.950235
6/18/18,7.682549
6/19/18,8.021616
6/20/18,8.191152
6/21/18,7.950235
6/22/18,8.012692
6/25/18,7.977003
6/26/18,8.110844
6/27/18,7.869929
6/28/18,8.066231
6/29/18,8.191152
7/2/18,8.280379
7/3/18,8.556988
7/4/18,8.637291
7/5/18,8.655137
7/6/18,8.672985
7/10/18,8.690828
7/11/18,8.717597
7/12/18,8.842515
7/13/18,9.038818
7/16/18,9.092356
7/17/18,9.270811
7/18/18,9.261889
7/19/18,9.395731
7/20/18,9.699108
7/23/18,9.458191
7/24/18,9.476037
7/25/18,9.779412
7/26/18,9.609879
7/27/18,9.583111
7/30/18,9.681263
7/31/18,9.297581
8/1/18,9.502806
8/2/18,9.556342
8/3/18,9.841871
8/6/18,9.699108
8/7/18,9.681263
8/8/18,9.476037
8/9/18,9.288656
8/10/18,8.931745
8/13/18,8.88713
8/14/18,9.101277
8/15/18,9.083433
8/16/18,8.994205
8/17/18,8.878208
8/20/18,8.858888
8/21/18,8.658377
8/22/18,8.849771
8/23/18,8.612806
8/24/18,8.64926
8/27/18,8.895341
8/28/18,8.749516
8/29/18,8.995597
8/30/18,8.594579
8/31/18,8.740403
9/3/18,8.644555
9/4/18,8.544143
9/5/18,8.544143
9/6/18,8.854506
9/10/18,8.845379
9/11/18,8.480245
9/12/18,8.535016
9/13/18,8.589786
9/14/18,8.790608
9/17/18,8.927533
9/18/18,9.046203
9/19/18,9.037075
