Date,ITSA4,GOAU4
6/22/15,5.233504,6.552751
6/23/15,5.233504,6.468259
6/24/15,5.221835,6.271112
6/25/15,5.13432,6.19601
6/26/15,5.245173,6.318053
6/29/15,5.180994,6.252337
6/30/15,5.198499,5.942536
7/1/15,5.186829,5.632737
7/2/15,5.274344,5.444979
7/3/15,5.186829,5.229056
7/6/15,5.140155,5.266609
7/7/15,5.110983,5.153953
7/8/15,5.110983,4.99436
7/10/15,5.239339,4.693947
7/13/15,5.245173,4.891093
7/14/15,5.245173,4.393534
7/15/15,5.210167,4.262104
7/16/15,5.210167,4.374759
7/17/15,5.13432,4.130673
7/20/15,5.145989,3.764546
7/21/15,5.140155,3.661279
7/22/15,5.064308,3.351478
7/23/15,4.801756,3.473521
7/24/15,4.667565,3.417193
7/27/15,4.667565,3.21066
7/28/15,4.714241,3.351478
7/29/15,4.813423,3.323315
7/30/15,4.749245,3.135556
7/31/15,4.900939,3.323315
8/3/15,4.918441,3.360866
8/4/15,4.784252,3.717606
8/5/15,4.766749,3.886588
8/6/15,4.667565,3.661279
8/7/15,4.521699,3.511072
8/10/15,4.580048,3.511072
8/11/15,4.521699,3.332702
8/12/15,4.504197,3.323315
8/13/15,4.483705,3.21066
8/14/15,4.471875,3.16372
8/17/15,4.442301,3.098005
8/18/15,4.406808,2.985351
8/19/15,4.341744,2.910247
8/20/15,4.329914,2.910247
8/21/15,4.294422,2.788205
8/24/15,4.205696,2.45024
8/25/15,4.211611,2.336716
8/26/15,4.460045,2.535384
8/27/15,4.596092,2.93272
8/28/15,4.448215,2.94218
8/31/15,4.306252,2.847576
9/1/15,4.275576,2.93272
9/2/15,4.305228,3.311136
9/3/15,4.435687,3.348977
9/4/15,4.328947,3.348977
9/8/15,4.352665,3.500343
9/9/15,4.400108,3.471962
9/10/15,4.269648,3.66117
9/11/15,4.388247,3.65171
9/14/15,4.601733,3.42466
9/15/15,4.572083,3.443581
9/16/15,4.666964,3.528724
9/17/15,4.678822,3.509804
9/18/15,4.477196,3.500343
9/21/15,4.364528,3.42466
9/22/15,4.417897,3.320596
9/23/15,4.269648,3.18815
9/24/15,4.239998,3.216532
9/25/15,4.151049,3.140849
9/28/15,4.162901,3.008403
9/29/15,4.162901,2.92326
9/30/15,4.234068,2.762433
10/1/15,4.281506,2.658369
10/2/15,4.400108,2.847576
10/5/15,4.500918,2.970562
10/6/15,4.566147,3.036785
10/7/15,4.708473,3.197612
10/8/15,4.726261,3.292215
10/9/15,4.761841,3.16923
10/13/15,4.578006,2.894879
10/14/15,4.471266,2.857037
10/15/15,4.453477,2.857037
10/16/15,4.376388,2.875958
10/19/15,4.459405,2.790814
10/20/15,4.400108,2.781354
10/21/15,4.394176,2.762433
10/22/15,4.459405,2.743512
10/23/15,4.429757,2.667829
10/26/15,4.364528,2.629987
10/27/15,4.328947,2.516463
10/28/15,4.299297,2.45024
10/29/15,4.234068,2.374557
10/30/15,4.269648,2.459701
11/3/15,4.453477,2.658369
11/4/15,4.483127,2.563765
11/5/15,4.554285,2.563765
11/6/15,4.447546,2.469161
11/9/15,4.358597,2.488082
11/10/15,4.358597,2.412399
11/11/15,4.453477,2.459701
11/12/15,4.477196,2.317795
11/13/15,4.388247,2.308335
11/16/15,4.417897,2.166429
11/17/15,4.483127,1.977221
11/18/15,4.524635,1.94884
11/19/15,4.595796,1.939379
11/23/15,4.583943,1.778553
11/24/15,4.601733,1.825855
11/25/15,4.382316,1.873157
11/26/15,4.465336,1.892077
11/27/15,4.358597,1.873157
11/30/15,4.299297,1.873157
12/1/15,4.417168,1.816394
12/2/15,4.339885,1.759632
12/3/15,4.518232,1.797474
12/4/15,4.470671,1.636647
12/7/15,4.423113,1.570424
12/8/15,4.393387,1.47582
12/9/15,4.613358,1.494741
12/10/15,4.61775,1.46636
12/11/15,4.58745,1.371756
12/14/15,4.448071,1.333915
12/15/15,4.472312,1.352835
12/16/15,4.442012,1.371756
12/17/15,4.551092,1.381217
12/18/15,4.332933,1.4569
12/21/15,4.254147,1.437979
12/22/15,4.272335,1.485281
12/23/15,4.242033,1.570424
12/28/15,4.229914,1.570424
12/29/15,4.229914,1.560964
12/30/15,4.169306,1.570424
1/4/16,3.999628,1.513662
1/5/16,4.066288,1.390677
1/6/16,4.102647,1.21093
1/7/16,4.042049,1.135247
1/8/16,4.042049,1.182548
1/11/16,3.993568,1.154167
1/12/16,3.94509,1.116326
