Date,^GSPC,^DJI,^IXIC,^BVSP
6/22/15,2122.850098,18119.7793,5153.970215,53864
6/24/15,2108.580078,18144.07031,5122.410156,53843
6/25/15,2102.310059,17966.07031,5112.189941,53176
6/26/15,2101.48999,17890.35938,5080.509766,54017
6/29/15,2057.639893,17946.67969,4958.470215,53014
6/30/15,2063.110107,17596.34961,4986.870117,53081
7/1/15,2077.419922,17619.50977,5013.120117,52758
7/2/15,2076.780029,17757.91016,5009.209961,53106
7/7/15,2081.340088,17683.58008,4997.459961,52344
7/8/15,2046.680054,17776.91016,4909.759766,51782
7/10/15,2076.620117,17548.61914,4997.700195,52591
7/14/15,2108.949951,17977.67969,5104.890137,53239
7/15/15,2107.399902,18053.58008,5098.939941,52902
7/16/15,2124.290039,18050.16992,5163.180176,53070
7/17/15,2126.639893,18120.25,5210.140137,52342
7/20/15,2128.280029,18086.44922,5218.859863,51600
7/21/15,2119.209961,18100.41016,5208.120117,51474
7/22/15,2114.149902,17919.28906,5171.77002,50916
7/23/15,2102.149902,17851.03906,5146.410156,49807
7/24/15,2079.649902,17731.91992,5088.629883,49246
7/27/15,2067.639893,17568.5293,5039.779785,48736
7/28/15,2093.25,17440.58984,5089.209961,49602
7/29/15,2108.570068,17630.26953,5111.72998,50245
7/30/15,2108.629883,17751.39063,5128.779785,49897
7/31/15,2103.840088,17745.98047,5128.279785,50865
8/4/15,2093.320068,17598.19922,5105.549805,50058
8/5/15,2099.840088,17550.68945,5139.939941,50287
8/6/15,2083.560059,17540.4707,5056.439941,50011
8/7/15,2077.570068,17419.75,5043.540039,48577
8/11/15,2084.070068,17615.16992,5036.790039,49072
8/12/15,2086.050049,17402.83984,5044.390137,48388
8/13/15,2083.389893,17402.50977,5033.560059,48010
8/14/15,2091.540039,17408.25,5048.240234,47508
8/18/15,2096.919922,17545.17969,5059.350098,47451
8/19/15,2079.610107,17511.33984,5019.049805,46588
8/20/15,2035.72998,17348.73047,4877.490234,46649
8/21/15,1970.890015,16990.68945,4706.040039,45720
8/25/15,1867.609985,15871.34961,4506.490234,44545
8/26/15,1940.51001,15666.44043,4697.540039,46038
8/27/15,1987.660034,16285.50977,4812.709961,47715
8/28/15,1988.869995,16654.76953,4828.319824,47154
8/31/15,1972.180054,16643.00977,4776.509766,46626
9/1/15,1913.849976,16528.0293,4636.100098,45477
9/2/15,1948.859985,16058.34961,4749.97998,46464
9/3/15,1951.130005,16351.37988,4733.5,47366
9/4/15,1921.219971,16374.75977,4683.919922,46498
9/8/15,1969.410034,16102.37988,4811.930176,46762
9/9/15,1942.040039,16492.67969,4756.529785,46657
9/10/15,1952.290039,16253.57031,4796.25,46504
