Date,ITSA4,GOAU4,EMBR3,TOTS3,CPFE3,MGLU3
6/22/15,5.233504,6.552751,23.18837,35.928272,17.11297,0.333173
6/23/15,5.233504,6.468259,23.043196,37.256237,16.955807,0.322208
6/24/15,5.221835,6.271112,22.69479,36.728786,16.789963,0.31293
6/25/15,5.13432,6.19601,22.6464,36.540443,16.274797,0.301965
6/26/15,5.245173,6.318053,23.178694,37.623459,16.973259,0.301965
6/29/15,5.180994,6.252337,22.559305,37.199711,16.449415,0.296904
6/30/15,5.198499,5.942536,22.898031,36.728786,16.720062,0.297747
7/1/15,5.186829,5.632737,22.820606,36.728786,16.257343,0.291
7/2/15,5.274344,5.444979,22.598013,36.983067,16.414507,0.281721
7/3/15,5.186829,5.229056,22.501238,36.738228,16.449415,0.27413
7/6/15,5.140155,5.266609,22.6464,36.3992,16.309702,0.269069
7/7/15,5.110983,5.153953,22.656082,36.135479,16.851091,0.262321
7/8/15,5.110983,4.99436,23.2174,35.306759,16.615349,0.251356
7/10/15,5.239339,4.693947,22.87867,35.353844,16.728834,0.255574
7/13/15,5.245173,4.891093,22.936749,35.59869,17.016935,0.248826
7/14/15,5.245173,4.393534,23.49806,36.031876,17.016935,0.246295
7/15/15,5.210167,4.262104,23.294825,35.146633,17.436068,0.233643
7/16/15,5.210167,4.374759,23.265793,35.090122,17.069384,0.222678
7/17/15,5.13432,4.130673,23.459349,34.68523,16.973259,0.215087
7/20/15,5.145989,3.764546,23.285149,34.374432,16.964579,0.205808
7/21/15,5.140155,3.661279,23.32386,34.317902,16.877224,0.236174
7/22/15,5.064308,3.351478,23.00449,34.167229,16.728834,0.25726
7/23/15,4.801756,3.473521,22.936749,33.988331,16.414507,0.301965
7/24/15,4.667565,3.417193,23.03352,33.102985,16.248661,0.256417
7/27/15,4.667565,3.21066,22.723827,32.773407,16.292252,0.23533
7/28/15,4.714241,3.351478,23.198042,32.848797,16.589123,0.241234
7/29/15,4.813423,3.323315,23.03352,32.585075,15.864435,0.231956
7/30/15,4.749245,3.135556,21.775389,32.349651,16.50186,0.231113
7/31/15,4.900939,3.323315,23.130299,33.668083,16.833639,0.302808
8/3/15,4.918441,3.360866,23.227081,32.999386,16.947126,0.281721
8/4/15,4.784252,3.717606,23.488384,33.396717,16.720062,0.290156
8/5/15,4.766749,3.886588,23.885181,33.311546,16.449415,0.275817
8/6/15,4.667565,3.661279,24.156162,32.629917,15.986694,0.264008
8/7/15,4.521699,3.511072,23.710978,31.815895,15.550111,0.255574
8/10/15,4.580048,3.511072,24.049704,32.185024,15.899342,0.256417
8/11/15,4.521699,3.332702,23.50774,31.99572,16.143858,0.264008
8/12/15,4.504197,3.323315,23.275471,31.011263,15.846983,0.251356
