Date,ITSA4,GOAU4,EMBR3,PETR4,CPFE3
6/22/15,5.233504,6.552751,23.18837,12.218085,17.11297
6/23/15,5.233504,6.468259,23.043196,12.032542,16.955807
6/24/15,5.221835,6.271112,22.69479,12.264473,16.789963
6/25/15,5.13432,6.19601,22.6464,11.689284,16.274797
6/26/15,5.245173,6.318053,23.178694,12.255195,16.973259
6/29/15,5.180994,6.252337,22.559305,11.921215,16.449415
6/30/15,5.198499,5.942536,22.898031,11.772778,16.720062
7/1/15,5.186829,5.632737,22.820606,11.281089,16.257343
7/2/15,5.274344,5.444979,22.598013,11.457355,16.414507
7/3/15,5.186829,5.229056,22.501238,10.909998,16.449415
7/6/15,5.140155,5.266609,22.6464,10.67807,16.309702
7/7/15,5.110983,5.153953,22.656082,10.919277,16.851091
7/8/15,5.110983,4.99436,23.2174,10.631682,16.615349
7/10/15,5.239339,4.693947,22.87867,10.956386,16.728834
7/13/15,5.245173,4.891093,22.936749,10.937832,17.016935
7/14/15,5.245173,4.393534,23.49806,11.123377,17.016935
7/15/15,5.210167,4.262104,23.294825,10.928554,17.436068
7/16/15,5.210167,4.374759,23.265793,11.123377,17.069384
7/17/15,5.13432,4.130673,23.459349,10.585298,16.973259
7/20/15,5.145989,3.764546,23.285149,10.010109,16.964579
7/21/15,5.140155,3.661279,23.32386,9.954447,16.877224
7/22/15,5.064308,3.351478,23.00449,9.611189,16.728834
7/23/15,4.801756,3.473521,22.936749,9.388536,16.414507
7/24/15,4.667565,3.417193,23.03352,9.30504,16.248661
7/27/15,4.667565,3.21066,22.723827,8.81335,16.292252
7/28/15,4.714241,3.351478,23.198042,9.295766,16.589123
7/29/15,4.813423,3.323315,23.03352,9.926616,15.864435
7/30/15,4.749245,3.135556,21.775389,9.666855,16.50186
7/31/15,4.900939,3.323315,23.130299,9.731794,16.833639
8/3/15,4.918441,3.360866,23.227081,9.30504,16.947126
8/4/15,4.784252,3.717606,23.488384,9.425645,16.720062
8/5/15,4.766749,3.886588,23.885181,9.286487,16.449415
8/6/15,4.667565,3.661279,24.156162,9.592636,15.986694
8/7/15,4.521699,3.511072,23.710978,8.989615,15.550111
8/10/15,4.580048,3.511072,24.049704,9.267933,15.899342
8/11/15,4.521699,3.332702,23.50774,9.258655,16.143858
8/12/15,4.504197,3.323315,23.275471,9.110221,15.846983
8/13/15,4.483705,3.21066,23.227081,8.81335,15.227099
8/14/15,4.471875,3.16372,22.88835,8.627806,14.842876
8/17/15,4.442301,3.098005,22.69479,8.488647,14.773065
8/18/15,4.406808,2.985351,22.336096,8.340212,14.842876
8/19/15,4.341744,2.910247,22.355486,8.108282,14.947681
8/20/15,4.329914,2.910247,21.92893,8.061894,14.842876
8/21/15,4.294422,2.788205,21.773819,7.700084,14.319029
8/24/15,4.205696,2.45024,21.114595,7.319718,13.98725
8/25/15,4.211611,2.336716,21.230927,7.28261,13.533214
8/26/15,4.460045,2.535384,22.365177,7.542372,13.969796
8/27/15,4.596092,2.93272,22.268236,8.275272,14.406382
8/28/15,4.448215,2.94218,22.248844,8.368045,14.057149
8/31/15,4.306252,2.847576,22.277931,8.525757,13.707828
9/1/15,4.275576,2.93272,21.773819,7.969124,13.428498
9/2/15,4.305228,3.311136,22.917763,8.1825,13.227658
9/3/15,4.435687,3.348977,22.92746,8.126836,13.85631
9/4/15,4.328947,3.348977,23.160128,7.894905,13.210206
9/8/15,4.352665,3.500343,22.917763,8.015511,13.280017
9/9/15,4.400108,3.471962,22.578457,7.783579,13.314921
9/10/15,4.269648,3.66117,23.072876,7.393936,13.306239
9/11/15,4.388247,3.65171,22.92746,7.106343,13.699148
9/14/15,4.601733,3.42466,23.5576,7.162006,13.969796
9/15/15,4.572083,3.443581,24.226519,7.097066,13.7166
9/16/15,4.666964,3.528724,24.876057,7.551649,14.284124
9/17/15,4.678822,3.509804,25.157192,7.291887,14.179317
9/18/15,4.477196,3.500343,25.225054,7.050679,13.096718
9/21/15,4.364528,3.42466,25.360777,6.772364,13.166529
9/22/15,4.417897,3.320596,25.612831,6.466215,12.773622
9/23/15,4.269648,3.18815,25.215363,6.327058,12.616457
9/24/15,4.239998,3.216532,24.478577,6.456938,12.476747
9/25/15,4.151049,3.140849,24.478577,6.327058,12.590234
9/28/15,4.162901,3.008403,24.653082,5.974524,12.372031
9/29/15,4.162901,2.92326,24.69186,6.113682,12.791074
9/30/15,4.234068,2.762433,24.720943,6.716701,12.983142
10/1/15,4.281506,2.658369,24.57552,6.512602,12.668816
10/2/15,4.400108,2.847576,24.527052,7.208392,13.131624
10/5/15,4.500918,2.970562,24.953608,7.254779,13.140306
10/6/15,4.566147,3.036785,24.623997,7.598035,13.009366
10/7/15,4.708473,3.197612,25.477114,7.857797,13.218886
10/8/15,4.726261,3.292215,25.448027,8.117561,13.690376
10/9/15,4.761841,3.16923,25.700085,8.163946,13.419726
10/13/15,4.578006,2.894879,24.876057,7.542372,13.402273
10/14/15,4.471266,2.857037,24.313772,7.38466,12.96569
10/15/15,4.453477,2.857037,25.118412,7.421769,13.140306
10/16/15,4.376388,2.875958,25.641916,7.375382,12.834749
10/19/15,4.459405,2.790814,25.641916,7.375382,13.044271
10/20/15,4.400108,2.781354,25.593441,7.468155,13.332463
10/21/15,4.394176,2.762433,25.738865,7.189838,13.393503
10/22/15,4.459405,2.743512,26.107252,7.440322,13.864992
10/23/15,4.429757,2.667829,26.378695,7.412491,13.498309
10/26/15,4.364528,2.629987,25.767944,7.28261,13.402273
10/27/15,4.328947,2.516463,26.999142,7.050679,13.472085
10/28/15,4.299297,2.45024,26.97006,7.375382,13.463403
10/29/15,4.234068,2.374557,27.183344,7.059958,13.314921
10/30/15,4.269648,2.459701,27.416006,7.15273,13.524531
11/3/15,4.453477,2.658369,28.521179,7.867074,14.039608
11/4/15,4.483127,2.563765,27.435394,7.495986,14.3278
11/5/15,4.554285,2.563765,27.697147,7.523818,14.057149
11/6/15,4.447546,2.469161,27.251202,7.254779,13.864992
11/9/15,4.358597,2.488082,26.902199,7.338274,13.463403
