Date,ITSA4,GOAU4,CMIG3,PETR4,TOTS3,USIM5,LAME4,BBAS3,CIEL3,LIGT3,ABEV3,KLBN11,VVAR3,CVCB3,GOLL4,EMBR3,CSNA3
10/26/15,4.33731,2.629987,4.889023,7.282466,32.969135,2.948654,14.489809,12.88527,21.604973,12.372133,17.2805,19.230658,3.310584,13.152596,3.55,25.767944,4.11599
10/27/15,4.301952,2.516463,4.774228,7.050539,33.044613,2.948654,14.449583,13.058755,21.803387,12.225429,17.39465,19.053841,3.310584,12.932006,3.56,26.999142,4.082797
10/28/15,4.272487,2.45024,4.855263,7.375236,32.081654,2.822561,14.425447,12.837956,21.489256,12.117845,17.245377,18.854654,2.803557,13.400757,3.56,26.97006,4.01641
10/29/15,4.207663,2.374557,4.747219,7.059817,31.430193,2.725565,13.572176,12.222869,20.557831,12.078724,16.683409,18.524618,2.475481,13.327228,3.49,27.183344,3.576597
10/30/15,4.243021,2.459701,4.835006,7.152587,32.261009,2.696467,13.451403,12.593497,20.144411,12.54818,16.762438,18.558466,2.883091,13.419142,3.55,27.416006,3.601491
11/3/15,4.425704,2.658369,5.105117,7.866919,34.43248,2.841959,14.433494,13.705384,20.82235,12.665544,17.210258,19.633215,3.181342,13.786788,3.66,28.521179,4.198974
11/4/15,4.455169,2.563765,5.260434,7.495837,33.450603,2.822561,14.272491,13.760587,20.50267,13.007856,17.210258,19.463959,3.131633,13.8787,3.7,27.435394,4.11599
11/5/15,4.525886,2.563765,5.38198,7.523668,34.696857,2.812861,14.586448,14.430869,20.916082,12.616642,17.087324,19.125463,2.743907,13.970612,3.8,27.697147,4.107692
11/6/15,4.419811,2.469161,5.024083,7.254635,34.517509,2.686767,13.950492,13.721153,20.646008,12.176527,16.657066,19.159307,2.743907,13.511052,3.62,27.251202,4.149184
11/9/15,4.331416,2.488082,4.997074,7.338127,34.838455,2.63827,13.934402,13.531898,20.183065,12.430816,16.419989,18.854654,2.733966,13.511052,3.55,26.902199,4.198974
11/10/15,4.331416,2.412399,5.064597,7.059817,34.441936,2.618871,13.829719,13.508241,20.397985,12.988295,16.376085,18.981594,2.733966,13.557009,3.48,26.902199,4.281958
11/11/15,4.425704,2.459701,5.206409,7.161864,33.979275,2.706166,14.530035,13.610756,20.155445,13.056757,16.736099,19.700914,2.733966,13.759213,3.51,26.960367,4.431328
11/12/15,4.449276,2.317795,5.030836,7.031986,34.22485,2.696467,14.497854,13.571328,20.370447,12.919832,16.586826,19.988646,2.733966,13.602963,3.56,26.553198,4.497715
